,Ad_ID,Number_of_rooms,Metro,Address,Area_m2,Price,Repair,Windows,Children/pets_allowed,Floor flat,Design,Number of storeys in the house,Bathroom_separated,Bathroom_combined,Balcon,Loggia,pass_elevator,fr_elevator
13095,259816386,3,м. Новокосино ,"Москва, Новокосинская улица, 9К3, ш. Носовихинское (4 км до МКАД)",80.0,60000.0,2,0,2,2,4,5,1,0,0,1,1,1
13096,269941941,3,м. Новокосино ,"Москва, Суздальская улица, 42К2, ш. Носовихинское (3 км до МКАД)",79.0,60000.0,1,0,2,11,4,17,0,1,0,1,1,0
13097,273345213,3,м. Новокосино ,"Москва, Новокосинская улица, 27, ш. Носовихинское (3 км до МКАД)",73.0,60000.0,0,2,3,6,2,17,1,1,1,0,1,0
13098,258453144,3,м. Новокосино ,"Москва, Суздальская улица, 42К1, ш. Носовихинское (3 км до МКАД)",86.0,70000.0,2,0,3,13,2,17,1,0,1,1,1,0
13099,240110759,1,м. Новокосино ,"Москва, Суздальская улица, 12К4, ш. Носовихинское (3 км до МКАД)",38.0,26000.0,1,2,3,7,4,14,0,1,1,0,1,0
13100,274267097,1,м. Новокосино ,"Москва, Суздальская улица, 6К2, ш. Носовихинское (4 км до МКАД)",40.0,27000.0,1,0,3,1,4,7,0,1,1,0,1,0
13101,274529332,1,м. Новокосино ,"Москва, Салтыковская улица, 33К3, ш. Носовихинское (3 км до МКАД)",45.0,29000.0,1,0,0,1,2,14,1,0,0,1,1,0
13102,274528461,1,м. Новокосино ,"Москва, Городецкая улица, 9К1, ш. Носовихинское (3 км до МКАД)",39.0,30000.0,1,0,2,6,2,17,1,0,0,1,1,0
13103,274188527,1,м. Новокосино ,"Москва, Салтыковская улица, 29К1, ш. Носовихинское (3 км до МКАД)",39.0,30000.0,1,1,2,4,2,14,1,0,0,1,1,0
13104,273734903,1,м. Новокосино ,"Москва, Суздальская улица, 8К4, ш. Носовихинское (4 км до МКАД)",38.0,32000.0,1,0,0,4,2,10,0,1,1,0,1,1
13105,208981130,1,м. Новокосино ,"Москва, Суздальская улица, 40К1, ш. Носовихинское (3 км до МКАД)",39.0,32000.0,2,0,2,5,2,14,1,0,0,1,1,0
13106,274088792,1,м. Новокосино ,"Москва, Суздальская улица, 8К4, ш. Носовихинское (4 км до МКАД)",38.0,32000.0,1,0,0,4,4,10,0,1,1,0,1,0
13107,273892250,1,м. Новокосино ,"Москва, Суздальская улица, 20К3, ш. Носовихинское (3 км до МКАД)",38.0,35000.0,2,0,0,12,2,14,1,0,1,0,1,0
13108,271983007,1,м. Новокосино ,"Москва, Суздальская улица, 20К4, ш. Носовихинское (3 км до МКАД)",42.0,35000.0,2,0,0,12,4,14,1,0,0,1,1,0
13109,273512953,1,м. Новокосино ,"Москва, Салтыковская улица, 33К3, ш. Носовихинское (3 км до МКАД)",42.0,37000.0,1,1,2,13,2,14,1,0,0,1,1,0
13110,274751626,2,м. Новокосино ,"Москва, Салтыковская улица, 11К1, ш. Носовихинское (4 км до МКАД)",56.0,38000.0,0,0,2,3,2,9,0,1,1,0,1,0
13111,271821014,2,м. Новокосино ,"Москва, Новокосинская улица, 13К1, ш. Носовихинское (3 км до МКАД)",57.0,39000.0,1,0,3,5,4,17,1,0,1,0,1,0
13112,253454853,2,м. Новокосино ,"Москва, Суздальская улица, 14К2, ш. Носовихинское (4 км до МКАД)",65.0,40000.0,1,0,3,8,4,14,1,0,0,1,1,1
13113,272716889,2,м. Новокосино ,"Москва, Салтыковская улица, 5К1, ш. Носовихинское (4 км до МКАД)",57.0,41000.0,2,0,0,6,2,6,0,1,0,1,1,1
13114,269749609,2,м. Новокосино ,"Москва, Суздальская улица, 36К1, ш. Носовихинское (3 км до МКАД)",51.0,41000.0,1,0,3,11,2,14,1,0,0,1,1,0
13115,274808662,2,м. Новокосино ,"Москва, улица Николая Старостина, 9, ш. Носовихинское (4 км до МКАД)",56.0,43000.0,2,0,2,4,4,9,1,0,0,1,1,0
